Customer_ID,Age,Gender,City,Annual_Income,Purchase_Category,Total_Purchases,Avg_Purchase_Value,Payment_Type,Satisfaction_Score,Subscription_Status
129,53,Female,Surat,49015,Clothing,41,413.69,UPI,2.2,Active
130,44,Male,Delhi,25943,Electronics,20,498.0,Credit Card,1.4,Inactive
131,26,Female,Kolkata,68629,Books,38,373.71,Debit Card,4.5,Active
132,59,Male,Kolkata,100694,Books,18,26.03,Online Wallet,1.9,Active
133,46,Male,Chennai,33022,Beauty,35,451.83,UPI,2.4,Active
134,30,Male,Kolkata,32015,Footwear,42,323.35,Credit Card,1.2,Active
135,26,Male,Mumbai,92641,Footwear,38,115.82,Debit Card,2.3,Active
136,27,Male,Pune,38964,Groceries,35,132.82,Debit Card,1.4,Inactive
137,26,Male,Chennai,51186,Beauty,2,95.38,Credit Card,1.5,Active
138,25,Male,Kolkata,78756,Beauty,33,300.9,Cash,3.0,Active
139,57,Male,Jaipur,59535,Sports,42,482.37,Credit Card,5.0,Active
140,43,Female,Mumbai,84260,Sports,5,450.64,Online Wallet,3.4,Active
141,35,Female,Hyderabad,98301,Home Decor,30,257.72,Cash,1.4,Active
142,62,Male,Jaipur,114481,Footwear,28,231.26,Debit Card,2.7,Active
143,70,Female,Hyderabad,74524,Clothing,21,219.11,UPI,2.0,Active
144,27,Female,Mumbai,31957,Clothing,6,221.62,UPI,4.0,Inactive
145,53,Male,Surat,93608,Beauty,43,69.89,Online Wallet,4.5,Active
146,66,Female,Ahmedabad,57700,Home Decor,23,60.76,Net Banking,1.9,Active
147,60,Female,Bengaluru,34184,Beauty,55,282.57,Credit Card,4.1,Inactive
148,69,Female,Jaipur,101490,Electronics,39,465.25,UPI,2.1,Active
149,29,Female,Pune,64541,Beauty,1,98.89,Debit Card,3.3,Active
150,27,Male,Mumbai,117794,Footwear,25,215.72,Online Wallet,1.6,Active
151,37,Female,Surat,98148,Clothing,57,35.78,Debit Card,4.0,Active
152,21,Male,Pune,78079,Books,32,307.47,Cash,2.1,Active
153,66,Male,Chennai,76349,Clothing,19,342.33,Net Banking,2.9,Active
154,60,Female,Ahmedabad,48903,Books,39,36.84,Debit Card,2.2,Active
155,31,Male,Pune,57938,Beauty,8,13.79,UPI,2.7,Active
156,52,Male,Jaipur,93233,Beauty,5,204.56,UPI,1.2,Active
157,22,Female,Surat,76267,Books,46,323.67,Online Wallet,1.5,Active
158,19,Female,Delhi,101018,Sports,54,347.91,Online Wallet,1.4,Active
159,24,Male,Hyderabad,97184,Books,34,48.54,Online Wallet,4.0,Active
160,32,Female,Delhi,30011,Clothing,34,259.88,Online Wallet,2.4,Inactive
161,59,Male,Bengaluru,33474,Groceries,17,106.66,Net Banking,1.6,Inactive
162,22,Male,Kolkata,80811,Sports,44,462.84,Net Banking,3.6,Active
163,57,Female,Chennai,39786,Sports,5,239.77,UPI,2.2,Active
164,21,Female,Jaipur,29724,Home Decor,30,231.44,Credit Card,2.5,Active
165,59,Male,Surat,97867,Books,30,294.36,UPI,4.6,Active
166,46,Male,Chennai,99299,Sports,33,83.92,Credit Card,2.8,Active
167,69,Female,Mumbai,86132,Groceries,3,131.39,Cash,5.0,Inactive
168,57,Male,Chennai,68870,Home Decor,25,210.3,Online Wallet,3.7,Active
169,21,Female,Mumbai,63213,Clothing,36,342.41,Online Wallet,2.0,Active
170,60,Male,Chennai,30682,Groceries,59,181.41,UPI,3.8,Active
171,56,Male,Pune,93259,Books,42,397.91,Debit Card,3.7,Active
172,65,Male,Hyderabad,86648,Beauty,2,187.67,Debit Card,4.8,Active
173,67,Female,Bengaluru,49693,Groceries,10,47.81,Credit Card,3.0,Inactive
174,65,Male,Chennai,101006,Groceries,39,194.59,Debit Card,1.7,Active
175,62,Male,Kolkata,25726,Books,24,341.42,Debit Card,4.9,Inactive
176,66,Female,Bengaluru,89993,Footwear,20,483.14,Cash,4.6,Active
177,30,Female,Surat,77749,Sports,50,148.07,Cash,3.0,Active
178,44,Male,Bengaluru,99254,Groceries,56,132.5,UPI,2.9,Active
179,41,Male,Jaipur,36341,Home Decor,6,383.93,Online Wallet,2.8,Inactive
180,45,Male,Bengaluru,79130,Beauty,60,23.07,Credit Card,2.6,Active
181,41,Male,Hyderabad,30696,Beauty,15,23.81,Credit Card,4.4,Inactive
182,68,Male,Delhi,25020,Home Decor,59,416.58,UPI,4.3,Inactive
183,48,Female,Surat,20688,Clothing,2,135.4,Debit Card,3.2,Inactive
184,51,Female,Mumbai,57762,Footwear,20,69.71,Debit Card,2.7,Active
185,68,Female,Mumbai,34530,Sports,39,272.67,UPI,3.1,Active
186,27,Female,Hyderabad,20205,Beauty,16,289.63,Debit Card,3.7,Active
187,41,Male,Jaipur,91313,Electronics,25,437.93,Credit Card,3.5,Active
188,41,Female,Ahmedabad,66805,Clothing,23,128.15,UPI,3.5,Active
189,67,Female,Delhi,25811,Beauty,35,175.89,UPI,1.7,Inactive
190,47,Female,Delhi,37675,Clothing,46,390.33,Cash,1.1,Active
191,68,Male,Ahmedabad,61365,Home Decor,33,205.13,Net Banking,2.9,Active
192,20,Male,Pune,66789,Electronics,56,331.31,Online Wallet,1.5,Active
193,41,Female,Hyderabad,117426,Sports,58,478.67,Online Wallet,4.9,Active
194,49,Female,Chennai,88062,Home Decor,52,50.48,Cash,1.3,Active
195,56,Male,Jaipur,58504,Beauty,7,49.23,UPI,2.2,Active
196,63,Female,Delhi,110408,Sports,23,229.09,UPI,4.5,Active
197,40,Female,Pune,103816,Electronics,5,338.88,Cash,2.5,Inactive
198,61,Male,Ahmedabad,38714,Sports,3,71.85,Debit Card,4.1,Active
199,42,Male,Surat,40111,Sports,24,192.29,Credit Card,3.3,Inactive
200,43,Female,Pune,52717,Clothing,2,370.48,Cash,3.1,Inactive
201,25,Female,Pune,112279,Sports,14,498.22,Online Wallet,3.8,Active
202,49,Male,Mumbai,37790,Clothing,29,94.6,UPI,2.8,Active
203,61,Female,Chennai,113000,Clothing,36,275.66,Online Wallet,4.4,Active
204,63,Male,Chennai,86683,Footwear,8,492.71,Debit Card,1.9,Active
205,41,Female,Kolkata,92305,Groceries,40,443.28,Credit Card,2.2,Active
206,63,Female,Jaipur,73843,Books,53,291.7,Debit Card,4.9,Active
207,59,Male,Kolkata,81057,Beauty,9,440.2,Net Banking,3.6,Active
208,26,Female,Jaipur,27263,Clothing,34,84.98,Debit Card,1.6,Inactive
209,32,Female,Jaipur,57230,Clothing,17,106.19,Net Banking,2.1,Active
210,58,Female,Surat,89924,Clothing,33,324.08,Net Banking,4.8,Active
211,27,Male,Surat,114454,Beauty,54,462.73,Credit Card,4.3,Active
212,19,Male,Ahmedabad,104076,Home Decor,42,113.3,Net Banking,2.7,Active
213,58,Male,Kolkata,102203,Home Decor,42,478.76,Cash,2.0,Active
214,69,Female,Pune,79446,Clothing,45,39.36,Cash,2.7,Active
215,47,Male,Chennai,99516,Groceries,21,432.13,Online Wallet,3.9,Active
216,40,Female,Delhi,119701,Beauty,33,285.21,Online Wallet,2.0,Active
217,25,Female,Kolkata,52495,Groceries,7,34.8,Cash,4.5,Active
218,28,Female,Surat,114519,Beauty,13,383.93,Cash,5.0,Active
219,47,Female,Pune,85191,Electronics,6,473.16,Net Banking,2.8,Active
220,55,Female,Ahmedabad,26624,Home Decor,32,302.78,UPI,3.7,Active
221,18,Male,Hyderabad,37555,Home Decor,47,189.23,Cash,2.5,Active
222,54,Male,Chennai,92512,Home Decor,5,199.31,Cash,4.1,Active
223,57,Male,Delhi,32672,Books,24,399.5,Online Wallet,3.2,Active
224,27,Male,Surat,86731,Books,33,29.72,Credit Card,1.5,Active
225,39,Female,Jaipur,79898,Groceries,39,447.63,Debit Card,2.3,Active
226,57,Female,Delhi,71505,Home Decor,38,174.82,Net Banking,3.1,Active
227,63,Female,Kolkata,22180,Beauty,22,340.17,Cash,3.3,Inactive
228,64,Male,Surat,82205,Home Decor,42,393.62,Net Banking,3.3,Active
229,64,Male,Surat,82973,Groceries,34,318.22,Net Banking,4.1,Active
230,42,Male,Bengaluru,24138,Clothing,13,19.28,Online Wallet,2.7,Active
231,31,Female,Jaipur,100147,Sports,56,425.7,UPI,1.2,Active
232,26,Male,Jaipur,62604,Sports,34,194.64,Debit Card,2.8,Active
233,52,Female,Jaipur,66437,Home Decor,40,247.25,Debit Card,2.1,Active
234,37,Male,Pune,57880,Footwear,45,355.44,Online Wallet,2.9,Active
235,53,Female,Pune,35974,Books,58,490.28,Online Wallet,4.8,Inactive
236,36,Male,Pune,113603,Clothing,23,462.76,UPI,2.0,Active
237,48,Male,Bengaluru,90592,Home Decor,60,285.39,Online Wallet,1.5,Active
238,57,Male,Bengaluru,26653,Footwear,41,124.09,Credit Card,2.7,Inactive
239,24,Male,Ahmedabad,92135,Groceries,27,329.92,Cash,2.9,Active
240,30,Female,Chennai,57409,Electronics,59,386.68,UPI,3.3,Active
241,52,Male,Delhi,74773,Groceries,60,460.62,Cash,4.2,Active
242,29,Female,Ahmedabad,21214,Home Decor,37,305.36,Online Wallet,2.1,Inactive
243,52,Female,Delhi,86088,Sports,18,104.48,Credit Card,2.3,Active
244,64,Female,Pune,114188,Groceries,1,370.94,Online Wallet,3.3,Inactive
245,29,Female,Hyderabad,87538,Beauty,6,206.41,Credit Card,1.7,Active
246,38,Male,Ahmedabad,54181,Books,16,228.9,Online Wallet,4.8,Active
247,37,Male,Pune,105679,Beauty,45,125.79,UPI,1.5,Active
248,37,Male,Hyderabad,109925,Home Decor,45,67.53,Online Wallet,2.5,Active
249,32,Male,Delhi,82676,Groceries,30,376.39,Net Banking,2.5,Active
250,62,Female,Jaipur,107044,Footwear,49,131.26,Net Banking,4.5,Active
251,23,Female,Jaipur,112244,Beauty,5,459.45,Credit Card,1.2,Inactive
252,50,Male,Surat,90341,Groceries,11,170.78,Net Banking,2.8,Active
253,61,Male,Surat,84071,Clothing,58,260.08,Credit Card,2.8,Active
254,50,Female,Kolkata,93912,Electronics,36,236.57,Online Wallet,3.9,Active
255,43,Female,Ahmedabad,117754,Footwear,38,45.78,Cash,2.4,Active
256,22,Male,Mumbai,81875,Electronics,19,210.34,Debit Card,4.1,Active
257,64,Female,Chennai,70132,Sports,56,459.39,Cash,2.5,Active
258,61,Male,Chennai,35549,Groceries,35,202.6,Debit Card,3.9,Active
259,18,Male,Pune,80686,Books,35,195.85,Debit Card,2.0,Active
260,40,Male,Pune,44704,Clothing,3,406.64,Cash,3.5,Inactive
261,19,Male,Bengaluru,28819,Clothing,39,26.45,Net Banking,3.7,Inactive
262,33,Male,Hyderabad,77535,Footwear,35,116.46,Credit Card,1.6,Active
263,36,Male,Surat,61799,Beauty,16,157.86,Debit Card,4.9,Active
264,51,Male,Hyderabad,59387,Home Decor,4,282.79,Net Banking,4.5,Inactive
265,58,Female,Jaipur,84962,Electronics,23,471.38,UPI,2.5,Active
266,51,Female,Hyderabad,73511,Groceries,20,194.47,Net Banking,2.9,Active
267,32,Female,Delhi,80689,Electronics,36,212.21,Cash,3.2,Active
268,26,Female,Bengaluru,53422,Footwear,22,326.89,Cash,4.4,Active
269,23,Male,Ahmedabad,55187,Books,44,306.44,Credit Card,4.5,Active
270,30,Male,Kolkata,47379,Beauty,20,478.94,Credit Card,1.8,Active
271,30,Male,Kolkata,51797,Footwear,26,458.41,Net Banking,2.3,Active
272,36,Female,Kolkata,89946,Beauty,20,138.17,Net Banking,4.5,Active
273,47,Male,Kolkata,119828,Beauty,59,109.53,Online Wallet,2.7,Active
274,54,Male,Delhi,22125,Home Decor,36,468.03,Net Banking,3.9,Active
275,30,Female,Bengaluru,69786,Footwear,32,279.81,UPI,2.4,Active
276,66,Female,Kolkata,80401,Groceries,47,399.54,Debit Card,1.6,Active
277,52,Female,Delhi,91058,Electronics,34,26.57,Credit Card,4.8,Active
278,60,Male,Ahmedabad,74053,Groceries,54,319.04,Credit Card,3.8,Active
279,18,Male,Jaipur,79770,Beauty,4,312.74,UPI,4.7,Inactive
280,60,Female,Ahmedabad,20866,Books,1,18.2,UPI,2.1,Inactive
281,19,Female,Delhi,34026,Clothing,34,82.96,Debit Card,3.5,Active
282,40,Female,Hyderabad,30357,Beauty,26,234.91,Debit Card,5.0,Active
283,61,Male,Ahmedabad,32255,Books,25,194.81,Cash,1.2,Active
284,28,Male,Kolkata,76873,Beauty,37,488.89,Credit Card,4.6,Active
285,20,Male,Bengaluru,110739,Sports,18,32.82,Credit Card,3.7,Active
286,35,Male,Delhi,61220,Electronics,14,297.65,UPI,4.3,Active
287,22,Female,Delhi,93919,Footwear,37,418.98,Cash,3.7,Active
288,52,Female,Hyderabad,119039,Groceries,51,494.35,UPI,1.3,Active
289,65,Female,Ahmedabad,32803,Books,15,420.95,Online Wallet,3.4,Inactive
290,56,Female,Chennai,23883,Home Decor,51,496.37,Cash,1.9,Inactive
291,42,Female,Delhi,109088,Books,6,388.36,Online Wallet,4.2,Inactive
292,23,Female,Delhi,69807,Groceries,48,200.91,Online Wallet,1.4,Active
293,18,Female,Kolkata,67175,Home Decor,7,74.93,Debit Card,2.7,Inactive
294,50,Female,Mumbai,23442,Clothing,23,281.57,Net Banking,3.4,Active
295,42,Male,Pune,74238,Books,50,51.5,Net Banking,4.6,Active
296,33,Male,Hyderabad,42216,Groceries,18,157.55,Cash,1.6,Active
297,35,Female,Pune,83469,Clothing,24,133.33,Debit Card,3.9,Active
298,49,Male,Kolkata,34021,Groceries,20,13.32,Cash,2.3,Inactive
299,69,Female,Kolkata,63874,Books,53,413.53,UPI,4.9,Active
300,26,Female,Chennai,99064,Footwear,31,163.95,Cash,4.9,Active
301,36,Female,Surat,51775,Beauty,25,147.35,Cash,2.5,Active
302,54,Male,Surat,91516,Groceries,44,386.13,Credit Card,4.8,Active
303,47,Male,Kolkata,58185,Clothing,53,425.42,Cash,3.7,Active
304,26,Female,Bengaluru,53119,Groceries,46,217.33,Cash,1.3,Active
305,56,Female,Surat,72534,Books,35,28.01,Online Wallet,3.8,Active
306,69,Male,Mumbai,52536,Beauty,11,327.03,Credit Card,3.3,Active
307,59,Female,Chennai,76420,Clothing,1,58.32,Debit Card,3.0,Inactive
308,55,Male,Kolkata,69036,Books,30,388.45,Net Banking,3.8,Active
309,27,Female,Ahmedabad,83277,Clothing,19,213.83,Credit Card,1.5,Active
310,64,Male,Chennai,60880,Beauty,30,394.29,Net Banking,2.9,Active
311,48,Male,Kolkata,114633,Sports,21,42.92,Credit Card,4.2,Active
312,25,Male,Chennai,104930,Clothing,44,402.02,UPI,2.0,Active
313,29,Male,Chennai,93380,Books,30,123.61,Cash,3.5,Active
314,29,Female,Hyderabad,23826,Footwear,29,300.18,Cash,1.0,Active
315,35,Male,Surat,33336,Groceries,24,169.73,Cash,1.5,Inactive
316,49,Female,Surat,70939,Books,38,65.97,Online Wallet,4.4,Active
317,57,Male,Pune,100541,Clothing,44,75.63,Credit Card,2.0,Active
318,25,Male,Chennai,110890,Groceries,33,200.35,Net Banking,1.6,Active
319,42,Female,Delhi,83788,Groceries,36,91.76,Online Wallet,1.6,Active
320,38,Female,Surat,27026,Beauty,1,247.46,Debit Card,4.3,Inactive
321,50,Female,Hyderabad,109744,Sports,27,357.97,Cash,3.0,Active
322,23,Male,Bengaluru,58284,Electronics,18,120.17,Online Wallet,1.7,Active
323,47,Female,Jaipur,86952,Clothing,37,65.96,Net Banking,4.3,Active
324,41,Male,Kolkata,91611,Footwear,28,60.18,UPI,4.0,Active
325,37,Male,Kolkata,54447,Beauty,56,410.2,Cash,4.5,Active
326,25,Male,Bengaluru,116680,Beauty,56,358.27,UPI,2.7,Active
327,57,Male,Bengaluru,47124,Electronics,37,181.9,Online Wallet,3.4,Active
328,28,Female,Pune,57923,Home Decor,55,262.06,UPI,4.3,Active
329,26,Female,Ahmedabad,56349,Groceries,45,434.38,Debit Card,1.6,Active
330,38,Male,Hyderabad,84154,Groceries,37,319.88,UPI,2.7,Active
331,46,Male,Mumbai,72802,Home Decor,45,468.8,Online Wallet,2.8,Active
332,49,Female,Surat,20324,Clothing,47,486.35,UPI,3.7,Active
333,22,Female,Bengaluru,76314,Footwear,32,141.58,Online Wallet,2.4,Active
334,54,Male,Surat,83614,Beauty,58,344.45,Credit Card,1.2,Active
335,58,Female,Ahmedabad,36284,Groceries,29,233.69,Cash,1.8,Inactive
336,26,Female,Delhi,55916,Clothing,42,186.61,Credit Card,2.5,Active
337,59,Male,Ahmedabad,71949,Home Decor,47,352.73,Debit Card,2.7,Active
338,23,Male,Ahmedabad,47973,Sports,5,75.02,Debit Card,3.1,Active
339,18,Female,Mumbai,75353,Groceries,31,44.71,Cash,1.4,Active
340,69,Male,Mumbai,61071,Beauty,57,156.64,Cash,4.1,Active
341,66,Male,Delhi,28966,Electronics,40,328.51,Cash,2.4,Active
342,65,Male,Hyderabad,100750,Sports,56,116.45,Credit Card,1.6,Active
343,25,Female,Chennai,76280,Beauty,51,78.52,Online Wallet,3.6,Active
344,33,Female,Ahmedabad,106298,Home Decor,14,263.7,Net Banking,1.8,Active
345,43,Female,Ahmedabad,51370,Sports,25,65.24,Cash,3.6,Active
346,22,Male,Chennai,61480,Groceries,25,431.8,Net Banking,2.7,Active
347,52,Male,Kolkata,29567,Electronics,38,43.09,Online Wallet,1.9,Inactive
348,68,Female,Jaipur,57550,Books,28,353.89,Credit Card,3.6,Active
349,52,Male,Pune,30957,Home Decor,6,260.54,Debit Card,4.9,Active
350,38,Female,Surat,103138,Clothing,20,352.35,UPI,4.8,Active
351,33,Male,Bengaluru,31300,Books,8,232.15,Net Banking,1.2,Inactive
352,60,Male,Mumbai,21660,Groceries,45,15.56,Cash,4.8,Inactive
